epoch,train loss,train accuracy,test loss,test accuracy
0,0.7368868634670596,47.59493670886076,0.7371553134918213,49.0
1,0.7316415374792075,47.08860759493671,0.7197127997875213,53.0
2,0.7226097075245048,52.40506329113924,0.7072522151470184,51.0
3,0.7204754673981968,52.65822784810127,0.7103587937355041,54.0
4,0.7026043852673302,55.69620253164557,0.7691579413414001,55.0
5,0.7010057938249805,55.949367088607595,0.6914285272359848,61.0
6,0.694914042496983,56.962025316455694,0.7029898047447205,62.0
7,0.6745454767082311,60.0,0.6952002704143524,61.0
8,0.6553656357753126,61.51898734177215,0.6514543741941452,64.0
9,0.6461249464297596,66.07594936708861,0.6373998787999153,64.0
10,0.6000971258441105,64.81012658227849,0.616938174366951,67.0
11,0.5934267367365994,68.10126582278481,0.632680917084217,63.0
12,0.5699221445978442,72.15189873417721,0.5734963691234589,75.0
13,0.5385573896426189,74.43037974683544,0.5191050808876753,74.0
14,0.5034750888807864,78.73417721518987,0.5012099213898182,80.0
15,0.49584288212317457,76.9620253164557,0.4956311085820198,75.0
16,0.4400327132472509,81.0126582278481,0.5002833187580109,76.0
17,0.3782135988338084,83.29113924050633,0.5390235327929258,72.0
18,0.38652172553577,81.77215189873418,0.41204934522509573,80.0
19,0.3364874687470213,87.34177215189874,0.4078364710882306,80.0
20,0.3299669153846895,87.59493670886076,0.4973759438097477,75.0
21,0.27297957182119165,90.37974683544304,0.37283223748207095,87.0
22,0.2279312733843734,91.64556962025317,0.23958990862593055,93.0
23,0.22528090989806607,90.12658227848101,0.24732107343152165,91.0
24,0.25601923291724693,89.87341772151899,0.1914870586246252,92.0
