epoch,train loss,train accuracy,test loss,test accuracy
0,0.48302246950849703,49.36708860759494,0.47149004340171813,50.0
1,0.47119181688073314,49.36708860759494,0.4836339935660362,49.0
2,0.4531607554305958,50.88607594936709,0.47639026418328284,50.0
3,0.4320113485372519,53.164556962025316,0.5620556026697159,46.0
4,0.43125647777997994,53.164556962025316,0.5193766877055168,45.0
5,0.42382419071620026,56.70886075949367,0.45271872654557227,52.0
6,0.39352209017246587,57.9746835443038,0.47723787277936935,50.0
7,0.3826320807956442,63.29113924050633,0.4757383197546005,51.0
8,0.37027532154623466,63.037974683544306,0.5342060122638941,45.0
9,0.34469891047175927,68.60759493670886,0.4367795422673225,56.0
10,0.35622198521336423,65.56962025316456,0.5172854125499725,47.0
11,0.3332486340328108,68.10126582278481,0.47371346056461333,51.0
12,0.35231517024243936,65.0632911392405,0.44998243227601054,56.0
13,0.34850464421737043,65.0632911392405,0.4460259474813938,57.0
14,0.32955400438248356,66.58227848101266,0.5001637913286686,50.0
15,0.30289790373814257,70.12658227848101,0.5567022763192654,41.0
16,0.3219073651995085,68.35443037974683,0.5083074055612087,48.0
17,0.3090953668933126,70.37974683544304,0.49303291998803617,49.0
18,0.3010134873322294,69.87341772151899,0.49952608346939087,48.0
19,0.3248305046058531,68.60759493670886,0.45882801711559296,53.0
20,0.3109208836302727,69.62025316455696,0.4860453173518181,52.0
21,0.2913997606669046,70.37974683544304,0.5061147250235081,48.0
22,0.28902203764153434,72.9113924050633,0.5181431401520967,45.0
23,0.27103113199148,74.68354430379746,0.4942218314856291,48.0
24,0.24739744436420216,75.9493670886076,0.5233436644077301,43.0
25,0.25900185065744796,74.9367088607595,0.5586998805403709,42.0
26,0.2572556988489402,76.70886075949367,0.5069678567349911,48.0
27,0.2491389885073221,77.21518987341773,0.49974125549197196,48.0
28,0.2732634763410197,73.92405063291139,0.5329129595309496,44.0
29,0.2525407136241092,76.20253164556962,0.49497169479727743,47.0
