epoch,train loss,train accuracy,test loss,test accuracy
0,4.19384749020849,292.85714285714283,4.153305314836048,280.95238095238096
1,4.194295610700335,292.85714285714283,4.152941868418739,280.95238095238096
2,4.194268977358227,295.23809523809524,4.153312748386746,280.95238095238096
3,4.194229081982658,295.23809523809524,4.153292252903893,280.95238095238096
4,4.194245758510771,292.85714285714283,4.153402362551008,280.95238095238096
5,4.194879448130017,292.85714285714283,4.15303194239026,280.95238095238096
6,4.194387891462871,292.85714285714283,4.153082058543251,280.95238095238096
7,4.19413806994756,294.04761904761904,4.152369516236441,280.95238095238096
8,4.194384576309295,292.85714285714283,4.153655628363292,280.95238095238096
9,4.194461000817163,292.85714285714283,4.153717188608079,280.95238095238096
10,4.193980272327151,292.85714285714283,4.153463213216691,280.95238095238096
11,4.194013013726189,295.23809523809524,4.152740909939721,280.95238095238096
12,4.194419385421844,294.04761904761904,4.153338406767164,280.95238095238096
13,4.194809749012902,294.04761904761904,4.153103607041495,280.95238095238096
14,4.194441481715157,294.04761904761904,4.15293889670145,280.95238095238096
15,4.194226503372192,295.23809523809524,4.1541914230301265,280.95238095238096
16,4.194414216847647,292.85714285714283,4.153318388121469,280.95238095238096
17,4.194431431236721,292.85714285714283,4.152973481587002,280.95238095238096
18,4.1945250247206,292.85714285714283,4.152988646711622,280.95238095238096
19,4.194523665167036,292.85714285714283,4.153911096709115,280.95238095238096
20,4.194379173573994,292.85714285714283,4.1537560394832065,280.95238095238096
21,4.194611530928385,292.85714285714283,4.153314082395463,280.95238095238096
22,4.194080208029066,291.6666666666667,4.154327012243725,280.95238095238096
23,4.194599370161693,294.04761904761904,4.152751054082598,280.95238095238096
24,4.194182231312706,294.04761904761904,4.153298295679546,280.95238095238096
25,4.194749163729804,294.04761904761904,4.154709796110789,280.95238095238096
26,4.194163394825799,294.04761904761904,4.153079189005352,280.95238095238096
