epoch,train loss,train accuracy,test loss,test accuracy
0,0.7334915669658516,46.32911392405063,0.7316476166248321,51.0
1,0.7262017654467232,50.379746835443036,0.7212203907966613,57.0
2,0.7208606196355216,50.12658227848101,0.7101007360219955,49.0
3,0.7161760710462739,53.67088607594937,0.7088000798225402,54.0
4,0.7028828269318689,55.18987341772152,0.7385231178998947,51.0
5,0.7009475376032576,56.962025316455694,0.6884669011831284,58.0
6,0.6832102327407161,58.734177215189874,0.679370978474617,60.0
7,0.6781885549991946,61.0126582278481,0.6726980012655258,63.0
8,0.6630699705473985,61.77215189873418,0.645060623884201,65.0
9,0.6357430668948572,65.0632911392405,0.6473126995563507,64.0
10,0.6010059281240536,67.34177215189874,0.6401645892858505,66.0
11,0.5914528355191025,68.60759493670886,0.6308525371551513,68.0
12,0.5605114609191689,71.89873417721519,0.5656045258045197,73.0
13,0.528185176990832,75.44303797468355,0.5474311200156808,70.0
14,0.49884950910942466,78.48101265822785,0.5381954169273376,73.0
15,0.48054107432312604,76.9620253164557,0.49474731624126433,76.0
16,0.43331089516795135,80.0,0.4884088173508644,75.0
17,0.389576304053204,83.29113924050633,0.41851422414183614,83.0
18,0.3392411549587416,84.81012658227849,0.3889947221055627,82.0
19,0.2860164331201511,88.60759493670886,0.501902190707624,78.0
20,0.30914688654762656,87.84810126582279,0.5014275651425123,73.0
21,0.2681143341809983,90.63291139240506,0.4082653894275427,81.0
22,0.27211296482105984,87.84810126582279,0.22809691531816498,91.0
23,0.2602436944252894,88.86075949367088,0.39990361098200083,81.0
24,0.24442438576753617,90.12658227848101,0.17056743034743704,95.0
