epoch,train loss,train accuracy,test loss,test accuracy
0,0.8010519234439994,47.34177215189873,0.7337353843450546,47.0
1,0.7670430694954304,42.278481012658226,0.6874823534488678,53.0
2,0.732629930973053,48.607594936708864,0.7531657838821411,48.0
3,0.7048413065415394,51.392405063291136,0.7418194806575775,47.0
4,0.7188053656227981,55.18987341772152,0.782352020740509,51.0
5,0.7046963755088517,54.936708860759495,0.701800172328949,53.0
6,0.6707817208917836,55.949367088607595,0.7798100769519806,46.0
